use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,discount_factor,eps_prob,lambda_priority,length_walk,max_divisions,priority_nodes,time_periods
True,20000,st_line,ledge_4,2,,led29,3835.560834999999,False,19999,,,,,,,
True,20000,st_line,ledge_2,2,,led27,114.67353500000002,False,387,,,,,,,
True,20000,cair,ledge_2,2,,led17,127.26575375195169,False,484,,,,,,,
True,20000,grid_5_5,ledge_1,1,,led6,217.95870322193318,False,669,,,,,,,
True,20000,grid_5_5,ledge_5,1,,led10,9195.693647506128,False,19988,,,,,,,
True,20000,cair,ledge_4,2,,led19,7864.486090738962,False,19770,,,,,,,
True,20000,cair,ledge_5,2,,led20,3826.9739970447386,False,20001,,,,,,,
True,20000,st_line,ledge_1,1,,led11,123.25139541862556,False,361,,,,,,,
True,20000,cair,ledge_1,1,,led1,149.1710279958443,False,495,,,,,,,
True,20000,grid_5_5,ledge_2,1,,led7,213.19608565139083,False,637,,,,,,,
True,20000,grid_5_5,ledge_5,2,,led25,1533.7867126850738,False,14183,,,,,,,
True,20000,st_line,ledge_5,1,,led15,8002.407931189678,False,19996,,,,,,,
True,20000,cair,ledge_3,2,,led18,7778.989042252895,False,19995,,,,,,,
True,20000,grid_5_5,ledge_4,1,,led9,1160.8898664666165,False,12604,,,,,,,
True,20000,st_line,ledge_2,1,,led12,123.22053848463621,False,362,,,,,,,
True,20000,st_line,ledge_5,2,,led30,4117.830058034821,False,19987,,,,,,,
True,20000,cair,ledge_3,1,,led3,8891.194438889444,False,20001,,,,,,,
True,20000,grid_5_5,ledge_2,2,,led22,156.6723949976404,False,697,,,,,,,
True,20000,st_line,ledge_1,2,,led26,64.23531646835316,False,302,,,,,,,
True,20000,cair,ledge_5,1,,led5,8891.101531513516,False,20001,,,,,,,
True,20000,grid_5_5,ledge_1,2,,led21,111.69645041102372,False,491,,,,,,,
True,20000,st_line,ledge_4,1,,led14,8000.794603111089,False,19992,,,,,,,
True,20000,grid_5_5,ledge_3,2,,led23,8398.651486594637,False,19991,,,,,,,
True,20000,cair,ledge_4,1,,led4,1101.8985981931526,False,9316,,,,,,,
True,20000,st_line,ledge_3,2,,led28,5227.910976519892,False,17418,,,,,,,
True,20000,st_line,ledge_3,1,,led13,6543.158058596857,False,16348,,,,,,,
True,20000,cair,ledge_2,1,,led2,149.1710279958443,False,495,,,,,,,
True,20000,grid_5_5,ledge_4,2,,led24,823.3213701370137,False,10023,,,,,,,
True,20000,grid_5_5,ledge_3,1,,led8,8400.066060333183,False,19988,,,,,,,
True,20000,cair,ledge_1,2,,led16,74.40201504895914,False,321,,,,,,,
True,200000,st_line,ledge_6,2,,led35,65844.20604086245,False,199987,,,,,,,
True,200000,st_line,ledge_8,1,,led33,6851.078677974407,False,63855,,,,,,,
True,200000,st_line,ledge_7,3,,led40,40009.79110127754,False,199994,,,,,,,
True,200000,st_line,ledge_7,2,,led36,60007.730908154525,False,199998,,,,,,,
True,200000,st_line,ledge_8,3,,led41,8299.485000375029,False,106419,,,,,,,
